,Цена,Бренд,Тип наушников,"Минимальная воспроизводимая частота, Гц","Максимальная воспроизводимая частота, кГц",Цвет,Вид наушников,Тип акустического оформления,Чехол/футляр в комплекте,"Вес, г","Гарантия, мес","Срок службы, мес",Страна производства,Встроенный микрофон,Быстрая зарядка,Беспроводная зарядка,Складная конструкция
153,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
154,30190.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
156,1990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,6.4,12.0,24.0,Китай,да,нет,нет,нет
157,2690.0,other,проводные,20.0,40.0,other,полноразмерные,закрытые,да,300.0,12.0,24.0,Китай,нет,нет,нет,нет
158,7990.0,other,проводные,15.0,30.0,черный,полноразмерные,закрытые,да,355.0,12.0,24.0,Китай,нет,нет,нет,нет
159,13990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,нет,282.0,12.0,24.0,Китай,да,да,нет,нет
160,299990.0,other,проводные,10.0,30.0,other,полноразмерные,открытые,да,360.0,12.0,24.0,США,нет,нет,нет,нет
161,39900.0,other,беспроводные,20.0,20.0,черный,накладные,закрытые,да,330.0,12.0,24.0,Китай,да,да,нет,нет
163,3390.0,other,проводные,30.0,20.0,черный,полноразмерные,закрытые,да,283.0,12.0,24.0,не указано,нет,нет,нет,нет
164,1990.0,other,проводные,12.0,22.0,белый,накладные,закрытые,нет,120.0,12.0,24.0,не указано,да,нет,нет,да
165,1590.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,нет,20.0,12.0,24.0,не указано,да,нет,нет,нет
169,28090.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,да,нет
170,40990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
171,3490.0,other,беспроводные,20.0,20.0,белый,вставные,открытые,да,5.2,12.0,24.0,Китай,да,да,нет,нет
174,11990.0,other,проводные,12.0,25.0,черный,полноразмерные,закрытые,да,280.0,12.0,24.0,other,нет,нет,нет,нет
175,54990.0,other,проводные,20.0,20.0,черный,вставные,закрытые,да,7.0,12.0,24.0,США,нет,нет,нет,нет
176,9990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,14.0,12.0,24.0,Китай,да,да,нет,нет
177,2990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,10.0,12.0,24.0,Китай,да,да,нет,нет
178,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
180,2990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,35.0,12.0,24.0,other,да,нет,нет,нет
181,19990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,5.0,12.0,24.0,other,да,да,нет,нет
182,5690.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,36.0,12.0,24.0,other,да,да,нет,нет
183,22990.0,other,проводные,12.0,38.5,не указано,полноразмерные,открытые,нет,250.0,24.0,36.0,не указано,нет,нет,нет,нет
184,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
185,14990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,да,нет,нет
186,36590.0,other,проводные,7.0,40.0,черный,полноразмерные,открытые,да,391.0,12.0,24.0,не указано,нет,нет,нет,нет
187,1990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,6.6,12.0,24.0,Китай,да,да,нет,нет
188,359990.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,15.0,12.0,24.0,США,нет,нет,нет,нет
189,179990.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,41.0,12.0,24.0,other,нет,нет,нет,нет
190,790.0,other,проводные,20.0,20.0,белый,вставные,закрытые,нет,20.0,12.0,24.0,не указано,да,нет,нет,нет
191,185890.0,other,проводные,8.0,40.0,other,вставные,закрытые,да,12.0,12.0,24.0,Китай,нет,нет,нет,нет
193,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
194,14990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,42.0,12.0,24.0,Китай,да,да,нет,нет
195,35090.0,other,проводные,15.0,53.0,other,полноразмерные,закрытые,нет,525.0,12.0,24.0,Китай,нет,нет,нет,нет
196,21290.0,other,проводные,15.0,25.0,черный,полноразмерные,открытые,нет,550.0,12.0,24.0,не указано,нет,нет,нет,нет
197,33390.0,other,проводные,15.0,25.0,не указано,полноразмерные,закрытые,да,260.0,12.0,24.0,не указано,да,нет,нет,нет
198,12990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,12.0,12.0,24.0,Китай,да,да,нет,нет
199,149990.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
201,208500.0,other,беспроводные,4.0,22.0,не указано,полноразмерные,закрытые,да,326.0,12.0,24.0,не указано,да,нет,нет,да
202,19560.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,нет,0.0,12.0,24.0,other,да,да,нет,нет
203,890.0,other,проводные,20.0,20.0,белый,вставные,закрытые,нет,15.0,12.0,24.0,не указано,да,нет,нет,нет
204,24990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,да,нет
205,22790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,46.0,12.0,24.0,Китай,да,да,да,нет
206,31990.0,other,беспроводные,20.0,48.0,черный,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
207,173990.0,other,проводные,5.0,55.0,other,полноразмерные,закрытые,нет,470.0,12.0,24.0,Китай,нет,нет,нет,нет
208,3790.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,42.0,12.0,24.0,Китай,да,да,нет,нет
209,374790.0,other,проводные,8.0,110.0,черный,полноразмерные,открытые,да,385.0,12.0,24.0,other,нет,нет,нет,нет
210,1490.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,да,14.3,12.0,24.0,не указано,да,нет,нет,нет
212,10390.0,other,беспроводные,20.0,20.0,черный,накладные,открытые,да,45.0,12.0,24.0,Китай,да,да,нет,нет
213,990.0,other,проводные,5.0,24.0,белый,вставные,закрытые,нет,3.0,12.0,24.0,не указано,да,нет,нет,нет
214,201790.0,other,проводные,5.0,55.0,черный,полноразмерные,открытые,да,390.0,12.0,24.0,США,нет,нет,нет,нет
216,4590.0,other,проводные,15.0,25.0,черный,накладные,закрытые,нет,79.0,12.0,24.0,не указано,нет,нет,нет,да
217,21090.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,нет,нет,нет
219,10990.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,other,да,да,да,нет
220,16290.0,other,беспроводные,5.0,40.0,other,вставные,закрытые,да,20.0,12.0,24.0,Китай,да,да,да,нет
221,29990.0,other,беспроводные,10.0,22.0,черный,вставные,закрытые,да,60.0,12.0,24.0,не указано,да,да,да,нет
222,79990.0,other,беспроводные,10.0,30.0,черный,полноразмерные,закрытые,нет,320.0,12.0,24.0,не указано,да,да,нет,да
223,3990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,35.0,12.0,24.0,other,да,нет,нет,нет
225,1990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,6.6,12.0,24.0,Китай,да,да,нет,нет
227,51490.0,other,проводные,7.0,40.0,черный,полноразмерные,открытые,да,456.0,12.0,24.0,Китай,нет,нет,нет,нет
228,154090.0,other,проводные,5.0,40.0,черный,полноразмерные,открытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
229,129990.0,other,беспроводные,20.0,22.0,черный,полноразмерные,закрытые,да,323.0,12.0,24.0,Китай,да,нет,нет,нет
230,19990.0,other,беспроводные,20.0,40.0,черный,полноразмерные,закрытые,да,286.0,12.0,24.0,Китай,да,да,нет,да
231,1890.0,other,проводные,20.0,20.0,черный,накладные,закрытые,нет,121.0,12.0,24.0,не указано,да,нет,нет,нет
232,3690.0,other,проводные,20.0,40.0,черный,полноразмерные,закрытые,да,295.0,12.0,24.0,Китай,да,нет,нет,да
233,199990.0,other,проводные,4.0,51.0,черный,полноразмерные,открытые,да,330.0,24.0,36.0,не указано,нет,нет,нет,нет
234,74290.0,other,проводные,10.0,30.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
235,2490.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,41.0,12.0,24.0,Китай,да,да,нет,нет
236,26990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,да,нет
237,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
238,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
239,12990.0,other,беспроводные,20.0,20.0,белый,накладные,закрытые,да,219.0,12.0,24.0,Китай,да,да,нет,да
240,3990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,35.0,12.0,24.0,other,да,нет,нет,нет
242,14990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,да,нет,нет
243,5490.0,other,беспроводные,20.0,40.0,белый,полноразмерные,закрытые,да,245.0,12.0,24.0,Китай,да,да,нет,да
244,17990.0,other,беспроводные,20.0,20.0,белый,вставные,открытые,да,63.0,12.0,24.0,Китай,да,да,нет,нет
245,149990.0,other,беспроводные,5.0,40.0,не указано,полноразмерные,закрытые,да,380.0,12.0,24.0,не указано,да,нет,нет,нет
246,19990.0,other,проводные,5.0,58.0,other,вставные,закрытые,да,5.5,12.0,24.0,Китай,да,нет,нет,нет
247,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
248,29990.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,32.0,12.0,24.0,other,нет,нет,нет,нет
249,56990.0,other,беспроводные,20.0,22.0,черный,вставные,закрытые,да,65.0,12.0,24.0,не указано,да,да,да,нет
250,7990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,нет,220.0,12.0,24.0,не указано,да,нет,нет,да
251,31990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
253,10990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,265.0,12.0,24.0,Китай,да,да,нет,да
254,33390.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
255,9990.0,other,беспроводные,20.0,20.0,other,накладные,закрытые,нет,174.0,12.0,24.0,Китай,да,да,нет,да
256,3190.0,other,беспроводные,20.0,20.0,черный,накладные,открытые,да,12.0,12.0,24.0,Китай,да,да,нет,нет
257,62980.0,other,проводные,5.0,50.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
258,204990.0,other,проводные,5.0,22.0,черный,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
259,2990.0,other,беспроводные,14.0,48.0,other,вставные,закрытые,да,3.8,12.0,24.0,Китай,да,да,нет,нет
260,26990.0,other,проводные,5.0,35.0,не указано,полноразмерные,открытые,да,290.0,12.0,24.0,не указано,нет,нет,нет,нет
261,1790.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,36.0,12.0,24.0,Китай,да,да,нет,нет
262,7490.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,246.0,12.0,24.0,Китай,да,да,нет,да
263,56990.0,other,проводные,5.0,40.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
266,35490.0,other,беспроводные,10.0,25.0,не указано,полноразмерные,закрытые,да,325.0,12.0,24.0,не указано,да,нет,нет,нет
267,8490.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,3.0,12.0,24.0,не указано,нет,нет,нет,нет
