,Цена,Бренд,Тип наушников,"Минимальная воспроизводимая частота, Гц","Максимальная воспроизводимая частота, кГц",Цвет,Вид наушников,Тип акустического оформления,Чехол/футляр в комплекте,"Вес, г","Гарантия, мес","Срок службы, мес",Страна производства,Встроенный микрофон,Быстрая зарядка,Беспроводная зарядка,Складная конструкция
542,10190.0,other,проводные,15.0,40.0,other,вставные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
543,32400.0,other,беспроводные,10.0,30.0,черный,полноразмерные,закрытые,да,283.0,12.0,24.0,не указано,да,нет,нет,да
544,9990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
545,21390.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,46.0,12.0,24.0,не указано,да,да,да,нет
547,69990.0,other,проводные,5.0,20.0,черный,вставные,закрытые,да,7.0,12.0,24.0,США,нет,нет,нет,нет
549,990.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,0.0,12.0,24.0,Китай,да,нет,нет,нет
550,4690.0,other,беспроводные,20.0,20.0,черный,накладные,закрытые,нет,183.0,12.0,24.0,Китай,да,да,нет,да
551,33390.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
552,6490.0,other,беспроводные,20.0,20.0,черный,накладные,открытые,да,9.0,12.0,24.0,Китай,да,да,нет,нет
553,5990.0,other,проводные,15.0,22.0,не указано,полноразмерные,открытые,нет,172.0,12.0,24.0,не указано,нет,нет,нет,да
554,169990.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,да,10.0,12.0,24.0,США,нет,нет,нет,нет
555,1390.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
556,13290.0,other,проводные,20.0,40.0,черный,вставные,закрытые,да,15.0,12.0,24.0,не указано,нет,нет,нет,нет
558,8390.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,271.0,12.0,24.0,Китай,да,да,нет,да
559,14990.0,other,беспроводные,14.0,40.0,черный,вставные,закрытые,да,14.0,12.0,24.0,Китай,да,да,да,нет
560,107990.0,other,беспроводные,10.0,48.0,черный,полноразмерные,закрытые,да,370.0,12.0,24.0,other,да,да,нет,да
561,39990.0,other,проводные,20.0,18.0,other,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
562,64990.0,other,проводные,5.0,50.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
563,33790.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
564,34890.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
565,1990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,6.6,12.0,24.0,Китай,да,да,нет,нет
566,66990.0,other,проводные,8.0,40.0,черный,вставные,закрытые,да,8.0,12.0,24.0,Китай,нет,нет,нет,нет
567,2990.0,other,проводные,20.0,20.0,белый,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,нет,нет,нет
568,77990.0,other,беспроводные,10.0,40.0,черный,полноразмерные,закрытые,нет,0.0,12.0,24.0,Китай,да,да,нет,нет
569,34890.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
571,21090.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,нет,нет,нет
572,23090.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,38.0,12.0,24.0,не указано,да,нет,нет,нет
573,48890.0,other,проводные,5.0,40.0,черный,вставные,закрытые,да,17.0,12.0,24.0,Китай,нет,нет,нет,нет
575,3590.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,10.0,12.0,24.0,Китай,да,нет,да,нет
576,4990.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,да,195.0,12.0,24.0,other,да,нет,нет,нет
577,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
578,15290.0,other,проводные,10.0,40.0,черный,вставные,закрытые,да,12.0,12.0,24.0,Китай,нет,нет,нет,нет
579,144000.0,other,проводные,10.0,50.0,other,полноразмерные,открытые,да,595.0,12.0,24.0,не указано,нет,нет,нет,нет
580,55000.0,other,проводные,17.0,21.0,не указано,вставные,закрытые,да,10.0,12.0,24.0,не указано,нет,нет,нет,нет
581,5990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,8.8,12.0,24.0,Китай,да,да,нет,нет
582,2990.0,other,проводные,20.0,40.0,черный,полноразмерные,закрытые,да,280.0,12.0,24.0,Китай,да,нет,нет,нет
583,2090.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,7.0,12.0,24.0,Китай,нет,нет,нет,нет
584,30290.0,other,беспроводные,10.0,47.0,other,вставные,закрытые,да,4.7,12.0,24.0,Китай,да,да,да,нет
585,16590.0,other,беспроводные,20.0,20.0,other,накладные,открытые,нет,31.0,12.0,24.0,Китай,да,да,нет,нет
586,12690.0,other,проводные,5.0,40.0,other,вставные,закрытые,да,10.0,12.0,24.0,Китай,нет,нет,нет,нет
588,3390.0,other,проводные,20.0,20.0,черный,вставные,открытые,нет,3.2,12.0,24.0,Китай,да,нет,нет,нет
589,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
592,132990.0,other,проводные,5.0,40.0,other,вставные,закрытые,да,17.0,12.0,24.0,other,нет,нет,нет,нет
593,3990.0,other,беспроводные,20.0,20.0,белый,вставные,открытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
594,7490.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,да,246.0,12.0,24.0,Китай,да,да,нет,да
595,33890.0,other,беспроводные,10.0,35.0,other,вставные,закрытые,да,83.0,12.0,24.0,Китай,да,да,нет,нет
596,41990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
597,9990.0,other,беспроводные,20.0,20.0,белый,накладные,полуоткрытые,да,16.0,12.0,24.0,Китай,да,да,да,нет
598,580290.0,other,проводные,5.0,42.0,не указано,полноразмерные,открытые,нет,441.0,12.0,24.0,не указано,нет,нет,нет,нет
599,2190.0,other,беспроводные,160.0,16.0,черный,накладные,открытые,нет,28.0,12.0,24.0,Китай,да,нет,нет,нет
600,4990.0,other,беспроводные,20.0,20.0,черный,накладные,закрытые,нет,147.0,12.0,24.0,не указано,да,да,нет,нет
601,30190.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
602,229990.0,other,проводные,6.0,48.0,черный,полноразмерные,закрытые,да,360.0,24.0,36.0,не указано,нет,нет,нет,нет
604,1890.0,other,проводные,5.0,45.0,черный,вставные,закрытые,нет,7.0,12.0,24.0,Китай,нет,нет,нет,нет
605,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
606,30190.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
608,3490.0,other,беспроводные,20.0,20.0,черный,вставные,открытые,да,5.2,12.0,24.0,Китай,да,да,нет,нет
609,399990.0,other,проводные,20.0,20.0,черный,полноразмерные,закрытые,да,523.0,12.0,24.0,other,нет,нет,нет,нет
610,26990.0,other,проводные,5.0,35.0,не указано,полноразмерные,открытые,да,290.0,12.0,24.0,не указано,нет,нет,нет,нет
611,409990.0,other,проводные,20.0,20.0,черный,полноразмерные,закрытые,да,415.0,24.0,36.0,США,нет,нет,нет,нет
612,89990.0,other,проводные,5.0,50.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
613,3990.0,other,проводные,10.0,35.0,черный,полноразмерные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
614,31990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,240.0,12.0,24.0,США,да,да,нет,нет
616,10690.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,57.0,12.0,24.0,Китай,да,нет,нет,нет
618,4990.0,other,беспроводные,20.0,20.0,белый,полноразмерные,закрытые,нет,195.0,12.0,24.0,other,да,нет,нет,нет
620,34890.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
621,299990.0,other,проводные,20.0,35.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
622,69990.0,other,проводные,10.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
624,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
625,54900.0,other,проводные,15.0,22.0,other,полноразмерные,закрытые,да,306.0,12.0,24.0,other,нет,нет,нет,нет
626,3490.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,5.0,12.0,24.0,не указано,да,да,да,нет
627,314990.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
628,7390.0,other,проводные,15.0,22.0,черный,вставные,закрытые,да,13.7,12.0,24.0,не указано,нет,нет,нет,нет
629,9990.0,other,беспроводные,20.0,20.0,черный,накладные,полуоткрытые,да,16.0,12.0,24.0,Китай,да,да,да,нет
631,2690.0,other,проводные,20.0,40.0,other,полноразмерные,закрытые,да,300.0,12.0,24.0,Китай,да,нет,нет,нет
632,27490.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,46.0,12.0,24.0,Китай,да,да,да,нет
633,69900.0,other,проводные,20.0,22.0,other,полноразмерные,открытые,да,294.0,12.0,24.0,other,нет,нет,нет,нет
635,16990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,51.0,12.0,24.0,other,да,да,да,нет
636,343990.0,other,проводные,5.0,20.0,other,вставные,закрытые,да,17.0,12.0,24.0,США,нет,нет,нет,нет
637,1290.0,other,проводные,20.0,20.0,черный,вставные,закрытые,нет,0.0,12.0,24.0,Китай,да,нет,нет,нет
638,14190.0,other,беспроводные,20.0,40.0,other,вставные,закрытые,да,5.0,12.0,24.0,other,да,да,нет,нет
639,14990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,да,нет,нет
641,131000.0,other,проводные,10.0,50.0,черный,полноразмерные,закрытые,да,612.0,12.0,24.0,не указано,нет,нет,нет,нет
642,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
643,49990.0,other,проводные,20.0,40.0,other,полноразмерные,открытые,да,420.0,12.0,24.0,Китай,нет,нет,нет,нет
644,3990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,10.0,12.0,24.0,Китай,да,да,нет,нет
645,10990.0,other,проводные,20.0,40.0,other,вставные,закрытые,да,18.5,12.0,24.0,не указано,да,нет,нет,нет
646,9490.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,31.0,12.0,24.0,Китай,да,да,нет,нет
647,22990.0,other,беспроводные,20.0,20.0,белый,вставные,полуоткрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
648,8190.0,other,проводные,20.0,40.0,черный,вставные,закрытые,да,10.0,12.0,24.0,не указано,нет,нет,нет,нет
649,4990.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,12.0,12.0,24.0,other,нет,нет,нет,нет
650,29490.0,other,беспроводные,4.0,40.0,other,полноразмерные,закрытые,да,255.0,12.0,24.0,не указано,да,да,нет,да
651,2990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,10.0,12.0,24.0,Китай,да,да,нет,нет
652,189990.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,нет,15.0,12.0,24.0,США,нет,нет,нет,нет
653,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
654,10990.0,other,беспроводные,20.0,20.0,other,вставные,открытые,да,10.0,12.0,24.0,Китай,да,да,нет,нет
655,29990.0,other,проводные,15.0,25.0,белый,вставные,закрытые,нет,7.0,12.0,24.0,other,нет,нет,нет,нет
657,2990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,10.0,12.0,24.0,Китай,да,да,да,нет
659,399990.0,other,проводные,20.0,20.0,черный,вставные,закрытые,нет,15.0,12.0,24.0,США,нет,нет,нет,нет
660,129990.0,other,проводные,5.0,50.0,не указано,полноразмерные,открытые,да,360.0,12.0,24.0,не указано,нет,нет,нет,нет
661,34890.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
662,134990.0,other,проводные,20.0,50.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
663,34990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,7.0,12.0,24.0,не указано,да,да,да,нет
665,10990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,48.0,12.0,24.0,не указано,да,да,нет,нет
666,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
668,20980.0,other,беспроводные,10.0,22.0,белый,полноразмерные,закрытые,нет,222.0,12.0,24.0,Китай,да,да,нет,нет
669,3990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,10.0,12.0,24.0,Китай,да,да,нет,нет
670,3490.0,other,беспроводные,20.0,20.0,other,накладные,открытые,нет,181.0,12.0,24.0,Китай,да,нет,нет,да
671,80990.0,other,проводные,7.0,90.0,черный,полноразмерные,открытые,да,365.0,12.0,24.0,Китай,нет,нет,нет,нет
672,27090.0,other,проводные,5.0,40.0,other,вставные,закрытые,да,20.0,12.0,24.0,Китай,нет,нет,нет,нет
673,8390.0,other,беспроводные,20.0,20.0,черный,накладные,открытые,да,76.0,12.0,24.0,Китай,да,да,нет,нет
675,790.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,0.0,12.0,24.0,Китай,да,нет,нет,нет
676,44000.0,other,проводные,20.0,20.0,черный,вставные,закрытые,да,29.0,12.0,24.0,не указано,нет,нет,нет,нет
677,4790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,24.0,36.0,не указано,да,да,нет,нет
678,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
679,10490.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,34.0,12.0,24.0,не указано,да,да,нет,нет
681,19290.0,other,проводные,10.0,40.0,не указано,полноразмерные,закрытые,да,340.0,12.0,24.0,Китай,нет,нет,нет,нет
682,171400.0,other,проводные,7.0,41.0,черный,полноразмерные,открытые,нет,371.0,12.0,24.0,не указано,нет,нет,нет,нет
683,34990.0,other,беспроводные,20.0,40.0,other,вставные,закрытые,да,7.0,12.0,24.0,other,да,да,да,нет
687,9990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,6.8,12.0,24.0,other,да,да,да,нет
688,129990.0,other,проводные,5.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
689,69290.0,other,проводные,50.0,40.0,other,вставные,закрытые,да,6.0,12.0,24.0,Китай,нет,нет,нет,нет
690,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
691,15790.0,other,проводные,10.0,50.0,other,вставные,закрытые,да,7.0,12.0,24.0,Китай,нет,нет,нет,нет
692,4990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,195.0,12.0,24.0,other,да,нет,нет,нет
693,47990.0,other,проводные,6.0,30.0,черный,полноразмерные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
694,279900.0,other,проводные,30.0,30.0,черный,полноразмерные,открытые,да,430.0,12.0,24.0,other,нет,нет,нет,нет
696,319990.0,other,проводные,5.0,22.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
697,69280.0,other,проводные,5.0,50.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
698,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
699,2490.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,нет,20.0,12.0,24.0,Китай,да,да,нет,нет
700,19100.0,other,беспроводные,20.0,20.0,черный,накладные,открытые,нет,33.0,12.0,24.0,Китай,да,да,нет,нет
702,234990.0,other,проводные,5.0,22.0,черный,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
703,21090.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,нет,нет,нет
705,3990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,нет,0.0,12.0,24.0,Китай,да,да,нет,да
706,5990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,нет,100.0,12.0,24.0,Китай,да,нет,нет,нет
707,89990.0,other,беспроводные,5.0,20.0,не указано,вставные,закрытые,да,6.0,24.0,36.0,Китай,да,да,да,нет
708,29906.0,other,беспроводные,10.0,20.0,черный,полноразмерные,закрытые,да,320.0,12.0,24.0,не указано,да,да,нет,нет
709,59890.0,other,проводные,5.0,36.0,черный,полноразмерные,открытые,да,260.0,12.0,24.0,other,нет,нет,нет,нет
711,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
712,126900.0,other,беспроводные,10.0,40.0,не указано,полноразмерные,закрытые,да,340.0,12.0,24.0,не указано,да,да,нет,да
713,13290.0,other,проводные,10.0,25.0,черный,полноразмерные,закрытые,нет,270.0,12.0,24.0,не указано,нет,нет,нет,нет
714,12990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,42.0,12.0,24.0,other,да,нет,нет,нет
715,21390.0,other,проводные,10.0,45.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
718,399990.0,other,проводные,20.0,40.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
719,169990.0,other,проводные,20.0,20.0,черный,полноразмерные,закрытые,да,380.0,24.0,36.0,США,нет,нет,нет,нет
720,9990.0,other,беспроводные,5.0,32.0,черный,накладные,закрытые,нет,180.0,12.0,24.0,не указано,да,да,нет,нет
723,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
724,9990.0,other,проводные,10.0,40.0,other,вставные,закрытые,нет,6.5,12.0,24.0,Китай,нет,нет,нет,нет
725,22190.0,other,беспроводные,5.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,да,да,нет
726,62190.0,other,проводные,10.0,40.0,черный,вставные,полуоткрытые,да,12.0,12.0,24.0,не указано,нет,нет,нет,нет
727,198090.0,other,проводные,5.0,45.0,не указано,полноразмерные,закрытые,да,390.0,12.0,24.0,не указано,нет,нет,нет,нет
728,59990.0,other,проводные,20.0,27.0,не указано,вставные,закрытые,нет,0.0,36.0,48.0,other,нет,нет,нет,нет
729,4790.0,other,проводные,15.0,37.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
730,7390.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,10.0,12.0,24.0,не указано,да,да,нет,нет
731,6700000.0,other,проводные,8.0,80.0,other,полноразмерные,открытые,да,0.0,24.0,36.0,other,нет,нет,нет,нет
732,49990.0,other,беспроводные,20.0,20.0,белый,полноразмерные,закрытые,да,312.0,12.0,24.0,Китай,да,да,нет,нет
733,17990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,5.0,12.0,24.0,не указано,да,да,нет,нет
735,19990.0,other,проводные,15.0,28.0,черный,полноразмерные,закрытые,да,285.0,12.0,24.0,не указано,нет,нет,нет,да
737,2490.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,41.0,12.0,24.0,Китай,да,да,нет,нет
738,22990.0,other,проводные,7.0,40.0,черный,полноразмерные,открытые,да,374.0,12.0,24.0,Китай,нет,нет,нет,нет
739,6490.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,нет,273.0,12.0,24.0,Китай,да,да,нет,нет
740,3990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,35.0,12.0,24.0,other,да,нет,нет,нет
741,790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,39.0,12.0,24.0,Китай,да,нет,нет,нет
742,12590.0,other,беспроводные,15.0,25.0,черный,накладные,открытые,да,0.0,12.0,24.0,Китай,да,да,нет,да
743,3990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,10.0,12.0,24.0,Китай,да,да,нет,нет
744,62690.0,other,проводные,9.0,40.0,черный,вставные,закрытые,да,7.0,12.0,24.0,Китай,нет,нет,нет,нет
745,690.0,other,проводные,20.0,20.0,черный,вставные,закрытые,нет,0.0,12.0,24.0,Китай,нет,нет,нет,нет
746,9990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
747,10390.0,other,беспроводные,20.0,40.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,да,нет
748,5990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,45.8,12.0,24.0,не указано,да,да,нет,нет
751,990.0,other,проводные,4.0,43.0,other,вставные,закрытые,нет,0.0,12.0,24.0,Китай,нет,нет,нет,нет
753,21090.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,38.0,12.0,24.0,не указано,да,нет,нет,нет
754,5990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,39.0,12.0,24.0,Китай,да,да,нет,нет
756,38000.0,other,проводные,17.0,21.0,черный,вставные,закрытые,да,10.0,12.0,24.0,не указано,нет,нет,нет,нет
757,23290.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,46.0,12.0,24.0,не указано,да,да,да,нет
758,11490.0,other,беспроводные,20.0,20.0,белый,полноразмерные,закрытые,нет,192.0,12.0,24.0,other,да,да,нет,да
759,465000.0,other,проводные,8.0,45.0,не указано,полноразмерные,открытые,да,440.0,12.0,24.0,не указано,нет,нет,нет,нет
760,7990.0,other,проводные,20.0,40.0,не указано,вставные,закрытые,нет,18.0,12.0,24.0,не указано,да,нет,нет,нет
762,60890.0,other,проводные,5.0,40.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
763,180000.0,other,беспроводные,10.0,40.0,other,полноразмерные,закрытые,да,375.0,12.0,24.0,other,да,да,нет,нет
764,10990.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,5.0,12.0,24.0,Китай,да,да,нет,нет
766,25090.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,46.5,12.0,24.0,не указано,да,да,нет,нет
767,5290.0,other,проводные,15.0,25.0,черный,накладные,открытые,нет,62.0,12.0,24.0,Китай,нет,нет,нет,да
768,183990.0,other,проводные,5.0,45.0,не указано,полноразмерные,открытые,да,390.0,12.0,24.0,не указано,нет,нет,нет,нет
769,14990.0,other,беспроводные,5.0,40.0,черный,вставные,закрытые,да,37.0,12.0,24.0,Китай,да,да,да,нет
770,4990.0,other,беспроводные,40.0,40.0,белый,вставные,закрытые,да,4.9,12.0,24.0,не указано,да,да,да,нет
774,6490.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,нет,273.0,12.0,24.0,Китай,да,да,нет,нет
776,2990.0,other,беспроводные,160.0,16.0,черный,накладные,открытые,нет,28.0,12.0,24.0,Китай,да,нет,нет,нет
777,590.0,other,проводные,18.0,22.0,не указано,вставные,закрытые,нет,6.0,12.0,24.0,Китай,нет,нет,нет,нет
778,27990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,45.0,12.0,24.0,не указано,да,да,нет,нет
779,55390.0,other,проводные,5.0,40.0,белый,вставные,закрытые,да,8.0,12.0,24.0,Китай,нет,нет,нет,нет
780,28790.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
781,24990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,7.0,12.0,24.0,не указано,да,да,да,нет
782,79990.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,15.0,12.0,24.0,Китай,нет,нет,нет,нет
783,24890.0,other,проводные,15.0,25.0,не указано,полноразмерные,закрытые,да,260.0,12.0,24.0,не указано,да,нет,нет,нет
784,2690.0,other,проводные,20.0,40.0,черный,полноразмерные,закрытые,да,300.0,12.0,24.0,Китай,да,нет,нет,нет
785,18990.0,other,беспроводные,14.0,48.0,other,вставные,закрытые,да,5.8,12.0,24.0,Китай,да,да,да,нет
786,2990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,6.0,12.0,Китай,да,нет,нет,нет
788,259990.0,other,проводные,5.0,50.0,other,вставные,закрытые,да,15.0,12.0,24.0,Китай,нет,нет,нет,нет
790,12490.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,39.0,12.0,24.0,other,да,да,нет,нет
791,100970.0,other,проводные,7.0,41.0,черный,полноразмерные,открытые,нет,351.0,12.0,24.0,не указано,нет,нет,нет,нет
792,5450.0,other,беспроводные,20.0,20.0,черный,накладные,открытые,нет,26.0,12.0,24.0,Китай,да,да,нет,нет
793,6990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,42.0,12.0,24.0,Китай,да,да,нет,нет
794,35290.0,other,проводные,20.0,40.0,не указано,полноразмерные,открытые,да,395.0,12.0,24.0,Китай,нет,нет,нет,нет
795,12490.0,other,проводные,10.0,40.0,черный,вставные,закрытые,да,7.3,12.0,24.0,не указано,нет,нет,нет,нет
796,4990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,15.0,12.0,24.0,Китай,да,да,нет,нет
798,52000.0,other,проводные,20.0,25.0,не указано,полноразмерные,открытые,да,475.0,12.0,24.0,не указано,нет,нет,нет,нет
799,13790.0,other,беспроводные,20.0,20.0,не указано,накладные,открытые,нет,32.0,12.0,24.0,Китай,да,да,нет,нет
801,1990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,6.6,12.0,24.0,Китай,да,да,нет,нет
802,296390.0,other,проводные,4.0,92.0,не указано,полноразмерные,закрытые,да,427.0,12.0,24.0,other,нет,нет,нет,нет
803,14990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,38.0,12.0,24.0,не указано,да,нет,нет,нет
805,14190.0,other,беспроводные,20.0,40.0,other,вставные,закрытые,да,5.0,12.0,24.0,other,да,да,нет,нет
808,99990.0,other,проводные,5.0,20.0,черный,вставные,закрытые,да,8.0,12.0,24.0,не указано,нет,нет,нет,нет
811,34000.0,other,проводные,10.0,40.0,черный,вставные,закрытые,да,8.8,12.0,24.0,Китай,нет,нет,нет,нет
812,10990.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,5.0,12.0,24.0,Китай,да,да,нет,нет
813,2190.0,other,беспроводные,160.0,16.0,other,накладные,открытые,нет,28.0,12.0,24.0,Китай,да,нет,нет,нет
814,39990.0,other,беспроводные,20.0,20.0,черный,вставные,открытые,да,57.0,12.0,24.0,Китай,да,нет,нет,нет
815,13980.0,other,беспроводные,20.0,20.0,черный,накладные,закрытые,нет,186.0,12.0,24.0,Китай,да,да,да,да
